timestamp,id,ide,rtr,dlc,data,crc,errors,status
1770817332.276827,0x593,0,0,2,EB 9C,3DAA,none,invalid frame
1770817332.296976,0x7e9,0,0,7,4D 25 A2 18 34 58 E2 DA 7F,1C9B,mismatch_of_dlc_and_data_frame,invalid dlc
1770817332.317086,0x48b,0,0,1,94,2A5F,none,invalid frame
1770817332.337129,0x5a4,0,0,0,,7A0C,none,invalid frame
1770817332.357166,0x4286,0,0,4,C7 83 75 8F,06F6,bad_id,invalid id
1770817332.377222,0xbd57,0,0,1,C8,75DD,bad_id,invalid id
1770817332.397259,0x247,0,0,6,BF 6D 8B 59 B0,1CC0,mismatch_of_dlc_and_data_frame,invalid dlc
1770817332.417329,0x3e2,0,0,7,40 9E 0D BC A6 F3 10,237F,none,invalid frame
1770817332.437388,0x781,0,0,5,54 D0 50 B0 97,685F,none,invalid frame
1770817332.457458,0x813b,0,0,0,,2991,bad_id,invalid id
1770817332.477489,0x5fc,0,0,2,DF DA,634A,none,invalid frame
1770817332.497525,0x4e5,0,0,1,1F,0942,none,invalid frame
1770817332.517557,0x4ee,0,0,1,62,6613,none,valid frame
1770817332.537587,0x34a,0,0,2,6E A5,66F1,none,invalid frame
1770817332.557622,0x257,0,0,8,66 37 B7 C5 58 B8 68 ED,106B,none,invalid frame
1770817332.577688,0x164,0,0,0,,2F76,none,invalid frame
1770817332.597714,0x764,0,0,2,99 DA,5B02,none,invalid frame
1770817332.617748,0x5d3,0,0,1,B2,4742,bad_crc,invalid frame
1770817332.637782,0x62e,0,0,0,,3402,none,valid frame
1770817332.657808,0x31f,0,0,5,74 37 D8 72 87,7C9D,none,invalid frame
1770817332.677860,0x166,0,0,11,,6B50,bad_dlc,invalid dlc
1770817332.697888,0x633,0,0,7,4C 36 C7 01 F9 33 E7,24B2,none,invalid frame
1770817332.717949,0x5c1,0,0,7,A3 E5 9E FE 05 DF 51,118F,none,invalid frame
1770817332.738009,0x58,0,0,3,39 52 DD,4EA5,none,invalid frame
1770817332.758051,0x11,0,0,2,7E B1,2512,none,valid frame
1770817332.778085,0x3f8,0,0,7,D1 97 04 F3 09 F5 B2,5E1A,none,invalid frame
1770817332.798140,0x7ac,0,0,1,8A,7AA3,none,invalid frame
1770817332.818170,0x82f6,0,0,6,4C EF E9 A0 14 43,4C6C,bad_id,invalid id
1770817332.838224,0x273,0,0,1,A9,1424,bad_crc,invalid frame
1770817332.858256,0x430,0,0,10,6A,5BEF,bad_dlc,invalid dlc
